Player Name,Sleeper ID,was keeper,2023 keeper round,was drafted,draft round,was dropped,on same roster,was undrafted,designation,2024 keeper round
,,,,,,,,,,
T-Money,,,,,,,,,,
Antoine Winfield,6888,FALSE,,TRUE,22,FALSE,TRUE,FALSE,drafted,17
DeVonta Smith,7525,FALSE,1,TRUE,1,FALSE,TRUE,FALSE,drafted,1
Micah Parsons,7640,TRUE,10,TRUE,11,FALSE,TRUE,FALSE,keeper,8
Jahan Dotson,8119,FALSE,10,TRUE,9,FALSE,TRUE,FALSE,drafted,7
Isaiah Likely,8131,FALSE,22,FALSE,,FALSE,FALSE,TRUE,undrafted or dropped,22
George Pickens,8137,TRUE,11,TRUE,12,FALSE,TRUE,FALSE,keeper,8
Brock Purdy,8183,FALSE,20,TRUE,13,FALSE,FALSE,FALSE,drafted,10
Isiah Pacheco,8205,TRUE,16,TRUE,16,FALSE,TRUE,FALSE,keeper,12
Kyle Hamilton,8339,FALSE,,TRUE,18,TRUE,FALSE,FALSE,undrafted or dropped,17
Tyjae Spears,9508,FALSE,,TRUE,18,FALSE,TRUE,FALSE,drafted,14
,,,,,,,,,,
zwade,,,,,,,,,,
Roschon Johnson,10235,FALSE,,TRUE,16,FALSE,TRUE,FALSE,drafted,12
C.J. Mosley,1875,TRUE,10,TRUE,10,FALSE,TRUE,FALSE,keeper,8
Jared Goff,3163,FALSE,11,TRUE,8,FALSE,TRUE,FALSE,drafted,6
Tyler Boyd,3225,FALSE,14,TRUE,18,FALSE,TRUE,FALSE,drafted,14
Cooper Kupp,4039,TRUE,3,TRUE,3,FALSE,TRUE,FALSE,keeper,2
Curtis Samuel,4082,FALSE,,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,22
Rayshawn Jenkins,4180,FALSE,,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,22
Noah Brown,4234,FALSE,,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,22
Tremaine Edmunds,4968,FALSE,20,FALSE,,TRUE,FALSE,TRUE,undrafted or dropped,22
